Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2272144,GHED_CHEGDP_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2018,,,,,,,,,11.19,11.19109821,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2275386,GHED_CHEGDP_SHA2011,REGION,AMR,,,YEAR,2021,,,,,,,,,7.80,7.80385988,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2277949,GHED_CHEGDP_SHA2011,COUNTRY,HTI,AMR,Americas,YEAR,2009,,,,,,,,,3.50,3.50277376,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2280583,GHED_CHEGDP_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,2.73,2.73132491,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2280858,GHED_CHEGDP_SHA2011,COUNTRY,GHA,AFR,Africa,YEAR,2017,,,,,,,,,2.69,2.68786979,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2283010,GHED_CHEGDP_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2002,,,,,,,,,3.59,3.58957744,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2288264,GHED_CHEGDP_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2009,,,,,,,,,5.20,5.19683933,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2291035,GHED_CHEGDP_SHA2011,COUNTRY,DNK,EUR,Europe,YEAR,2005,,,,,,,,,9.07,9.06716251,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2296004,GHED_CHEGDP_SHA2011,COUNTRY,ARG,AMR,Americas,YEAR,2009,,,,,,,,,9.57,9.56852913,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2296590,GHED_CHEGDP_SHA2011,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,4.61,4.60955143,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2297134,GHED_CHEGDP_SHA2011,COUNTRY,VEN,AMR,Americas,YEAR,2023,,,,,,,,,3.78,3.77611423,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2297742,GHED_CHEGDP_SHA2011,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,5.16,5.15800905,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
