Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2273534,GHED_EXT_pc_US_SHA2011,COUNTRY,WSM,WPR,Western Pacific,YEAR,2008,,,,,,,,,12.99,12.99452302,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2279167,GHED_EXT_pc_US_SHA2011,REGION,WPR,,,YEAR,2000,,,,,,,,,17.77,17.76696913,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2279916,GHED_EXT_pc_US_SHA2011,COUNTRY,BHS,AMR,Americas,YEAR,2010,,,,,,,,,8.13,8.12626991,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2280576,GHED_EXT_pc_US_SHA2011,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,4.37,4.37219917,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2281390,GHED_EXT_pc_US_SHA2011,COUNTRY,GRD,AMR,Americas,YEAR,2020,,,,,,,,,3.54,3.54375659,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
2282499,GHED_EXT_pc_US_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2004,,,,,,,,,0.06,0.05500082,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2289585,GHED_EXT_pc_US_SHA2011,COUNTRY,SGP,WPR,Western Pacific,YEAR,2008,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2290468,GHED_EXT_pc_US_SHA2011,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,0.64,0.6439123,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2297879,GHED_EXT_pc_US_SHA2011,COUNTRY,FSM,WPR,Western Pacific,YEAR,2010,,,,,,,,,286.00,285.99620595,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2301289,GHED_EXT_pc_US_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,0.50,0.50079956,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2301644,GHED_EXT_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2004,,,,,,,,,9.88,9.88289855,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2304048,GHED_EXT_pc_US_SHA2011,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,8.23,8.23243399,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2304702,GHED_EXT_pc_US_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2007,,,,,,,,,2.61,2.61091526,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2305797,GHED_EXT_pc_US_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,1.62,1.61693402,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
