Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2272148,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2018,,,,,,,,,979.58,979.57809649,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2273467,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,BOL,AMR,Americas,YEAR,2008,,,,,,,,,45.73,45.73420926,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2275326,GHED_GGHE-D_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2015,,,,,,,,,1889.05,1889.05423652,,,,2026-01-12T13:50:53Z,2015,2015-01-01,2015-12-31
2281128,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,GMB,AFR,Africa,YEAR,2019,,,,,,,,,9.50,9.50421633,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2285047,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MLT,EUR,Europe,YEAR,2001,,,,,,,,,471.04,471.04235186,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2285694,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KGZ,EUR,Europe,YEAR,2022,,,,,,,,,46.12,46.11660697,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2289063,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,JPN,WPR,Western Pacific,YEAR,2004,,,,,,,,,2315.65,2315.6487219,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2290530,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2000,,,,,,,,,72.88,72.87554358,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2294820,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,GNQ,AFR,Africa,YEAR,2004,,,,,,,,,23.32,23.31647894,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2296668,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,GRC,EUR,Europe,YEAR,2003,,,,,,,,,937.71,937.71393693,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2297272,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,ARG,AMR,Americas,YEAR,2019,,,,,,,,,619.20,619.19929423,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2301632,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,DZA,AFR,Africa,YEAR,2019,,,,,,,,,146.39,146.38565972,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2302554,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,DMA,AMR,Americas,YEAR,2005,,,,,,,,,148.01,148.01131067,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
