Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2276881,GHED_OOPSCHE_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2000,,,,,,,,,54.03,54.02555847,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2280593,GHED_OOPSCHE_SHA2011,COUNTRY,PNG,WPR,Western Pacific,YEAR,2010,,,,,,,,,12.28,12.28368187,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2287642,GHED_OOPSCHE_SHA2011,COUNTRY,RUS,EUR,Europe,YEAR,2017,,,,,,,,,40.49,40.49308395,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2292031,GHED_OOPSCHE_SHA2011,COUNTRY,BRB,AMR,Americas,YEAR,2001,,,,,,,,,38.06,38.05859375,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2292784,GHED_OOPSCHE_SHA2011,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,24.06,24.05808258,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2294167,GHED_OOPSCHE_SHA2011,COUNTRY,IRL,EUR,Europe,YEAR,2000,,,,,,,,,12.12,12.11708832,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2295106,GHED_OOPSCHE_SHA2011,COUNTRY,ETH,AFR,Africa,YEAR,2021,,,,,,,,,37.01,37.00746155,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2296572,GHED_OOPSCHE_SHA2011,COUNTRY,SMR,EUR,Europe,YEAR,2020,,,,,,,,,10.26,10.25551033,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
2298513,GHED_OOPSCHE_SHA2011,COUNTRY,TZA,AFR,Africa,YEAR,2014,,,,,,,,,25.98,25.98152733,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2311056,GHED_OOPSCHE_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2001,,,,,,,,,34.01,34.01305771,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2311180,GHED_OOPSCHE_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2023,,,,,,,,,27.42,27.42209625,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2311504,GHED_OOPSCHE_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2001,,,,,,,,,42.71,42.71286392,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2313025,GHED_OOPSCHE_SHA2011,COUNTRY,FSM,WPR,Western Pacific,YEAR,2021,,,,,,,,,2.81,2.80982423,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2313037,GHED_OOPSCHE_SHA2011,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,75.48,75.48258209,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2317336,GHED_OOPSCHE_SHA2011,COUNTRY,MHL,WPR,Western Pacific,YEAR,2009,,,,,,,,,1.06,1.06487417,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2319931,GHED_OOPSCHE_SHA2011,COUNTRY,ARG,AMR,Americas,YEAR,2019,,,,,,,,,23.28,23.27544212,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2320946,GHED_OOPSCHE_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2007,,,,,,,,,12.49,12.49013424,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2322339,GHED_OOPSCHE_SHA2011,COUNTRY,CIV,AFR,Africa,YEAR,2008,,,,,,,,,65.55,65.54959869,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2324362,GHED_OOPSCHE_SHA2011,COUNTRY,SGP,WPR,Western Pacific,YEAR,2018,,,,,,,,,29.10,29.09645271,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2328786,GHED_OOPSCHE_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2001,,,,,,,,,41.09,41.09132385,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2330787,GHED_OOPSCHE_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2017,,,,,,,,,23.14,23.14125252,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2334126,GHED_OOPSCHE_SHA2011,COUNTRY,CIV,AFR,Africa,YEAR,2016,,,,,,,,,40.01,40.01249313,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2335059,GHED_OOPSCHE_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,46.99,46.98527527,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2337974,GHED_OOPSCHE_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2012,,,,,,,,,17.62,17.61917686,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2346840,GHED_OOPSCHE_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2019,,,,,,,,,76.64,76.63578796,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2352255,GHED_OOPSCHE_SHA2011,COUNTRY,ATG,AMR,Americas,YEAR,2005,,,,,,,,,27.07,27.07497978,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2352382,GHED_OOPSCHE_SHA2011,COUNTRY,BDI,AFR,Africa,YEAR,2000,,,,,,,,,61.14,61.1387825,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2352706,GHED_OOPSCHE_SHA2011,COUNTRY,BIH,EUR,Europe,YEAR,2017,,,,,,,,,29.12,29.11909294,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
