Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2271937,GHED_PVT-DCHE_SHA2011,COUNTRY,KOR,WPR,Western Pacific,YEAR,2007,,,,,,,,,45.06,45.05767059,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2272941,GHED_PVT-DCHE_SHA2011,COUNTRY,BWA,AFR,Africa,YEAR,2018,,,,,,,,,22.88,22.88102341,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2274544,GHED_PVT-DCHE_SHA2011,COUNTRY,GUY,AMR,Americas,YEAR,2018,,,,,,,,,36.67,36.66504669,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2274598,GHED_PVT-DCHE_SHA2011,COUNTRY,BEN,AFR,Africa,YEAR,2019,,,,,,,,,60.25,60.24988937,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2277363,GHED_PVT-DCHE_SHA2011,COUNTRY,CRI,AMR,Americas,YEAR,2022,,,,,,,,,31.01,31.01320648,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2279937,GHED_PVT-DCHE_SHA2011,COUNTRY,NIU,WPR,Western Pacific,YEAR,2015,,,,,,,,,0.84,0.84499019,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2280998,GHED_PVT-DCHE_SHA2011,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,48.36,48.36382294,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2286430,GHED_PVT-DCHE_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2006,,,,,,,,,55.04,55.03845978,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2289791,GHED_PVT-DCHE_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2012,,,,,,,,,46.92,46.9178772,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2293690,GHED_PVT-DCHE_SHA2011,COUNTRY,ITA,EUR,Europe,YEAR,2018,,,,,,,,,26.64,26.63559914,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2294169,GHED_PVT-DCHE_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2001,,,,,,,,,52.93,52.92855835,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2295637,GHED_PVT-DCHE_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2011,,,,,,,,,18.03,18.02869034,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
2298502,GHED_PVT-DCHE_SHA2011,COUNTRY,ROU,EUR,Europe,YEAR,2012,,,,,,,,,23.14,23.1359024,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2299091,GHED_PVT-DCHE_SHA2011,REGION,WPR,,,YEAR,2000,,,,,,,,,28.24,28.2359178,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2300263,GHED_PVT-DCHE_SHA2011,REGION,WPR,,,YEAR,2021,,,,,,,,,22.46,22.45664735,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
