IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In a separate budget for assistive technology,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_01,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In the budget for health services (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_02,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In the budget for social services (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_03,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In the budget for education (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_04,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In the budget for labour (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_05,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In the budget for defense (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_06,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,Assistive technology subquestion,In other budgets,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_07,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Assistive technology subquestion,In the budget for education (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_04,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Assistive technology subquestion,In the budget for labour (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_05,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Assistive technology subquestion,In other budgets,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_07,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2021,true,Assistive technology subquestion,In other budgets,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_07,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EUR,Europe,Country,BEL,Belgium,Year,2021,true,Assistive technology subquestion,In the budget for health services (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_02,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EUR,Europe,Country,BEL,Belgium,Year,2021,true,Assistive technology subquestion,In the budget for social services (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_03,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,text,EUR,Europe,Country,BEL,Belgium,Year,2021,true,Assistive technology subquestion,In the budget for education (or similar),ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_04,,,,,,,,,,,,,,,,Information not available,,,EN,2021-12-10T05:00:00.000Z
