Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2271909,GHED_CHE_pc_US_SHA2011,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,81.52,81.52112579,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2273086,GHED_CHE_pc_US_SHA2011,COUNTRY,TCD,AFR,Africa,YEAR,2006,,,,,,,,,33.87,33.8651123,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2274014,GHED_CHE_pc_US_SHA2011,COUNTRY,CUB,AMR,Americas,YEAR,2010,,,,,,,,,608.58,608.5847168,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2278759,GHED_CHE_pc_US_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2012,,,,,,,,,318.42,318.4196167,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2279118,GHED_CHE_pc_US_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2015,,,,,,,,,33.21,33.20998764,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2279451,GHED_CHE_pc_US_SHA2011,COUNTRY,MLT,EUR,Europe,YEAR,2000,,,,,,,,,647.10,647.10150146,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2279999,GHED_CHE_pc_US_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2023,,,,,,,,,5931.01,5931.01464844,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2282392,GHED_CHE_pc_US_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2021,,,,,,,,,88.55,88.54867554,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2287984,GHED_CHE_pc_US_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2002,,,,,,,,,128.09,128.08802795,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2288560,GHED_CHE_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2000,,,,,,,,,146.61,146.60726749,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2288935,GHED_CHE_pc_US_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2019,,,,,,,,,51.19,51.1932373,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2289578,GHED_CHE_pc_US_SHA2011,COUNTRY,PAN,AMR,Americas,YEAR,2009,,,,,,,,,550.81,550.80755615,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2293150,GHED_CHE_pc_US_SHA2011,COUNTRY,GAB,AFR,Africa,YEAR,2015,,,,,,,,,187.27,187.27270508,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2293292,GHED_CHE_pc_US_SHA2011,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,139.82,139.81625366,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2296998,GHED_CHE_pc_US_SHA2011,REGION,EMR,,,YEAR,2009,,,,,,,,,414.69,414.691978,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2297327,GHED_CHE_pc_US_SHA2011,COUNTRY,CAF,AFR,Africa,YEAR,2021,,,,,,,,,46.25,46.25038147,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2299685,GHED_CHE_pc_US_SHA2011,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,54.41,54.40701294,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2300700,GHED_CHE_pc_US_SHA2011,COUNTRY,GHA,AFR,Africa,YEAR,2020,,,,,,,,,97.38,97.37677765,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
2300884,GHED_CHE_pc_US_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2007,,,,,,,,,19.63,19.62666321,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2301295,GHED_CHE_pc_US_SHA2011,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,464.48,464.47531128,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2301501,GHED_CHE_pc_US_SHA2011,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2007,,,,,,,,,64.72,64.72015381,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2303105,GHED_CHE_pc_US_SHA2011,COUNTRY,SGP,WPR,Western Pacific,YEAR,2002,,,,,,,,,749.44,749.44445801,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2306289,GHED_CHE_pc_US_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2014,,,,,,,,,736.00,736.00012207,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2306928,GHED_CHE_pc_US_SHA2011,REGION,WPR,,,YEAR,2006,,,,,,,,,750.74,750.74239826,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2308903,GHED_CHE_pc_US_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2015,,,,,,,,,118.33,118.3345871,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2311270,GHED_CHE_pc_US_SHA2011,COUNTRY,URY,AMR,Americas,YEAR,2022,,,,,,,,,1850.81,1850.80737305,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2312113,GHED_CHE_pc_US_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,42.07,42.07228851,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2314429,GHED_CHE_pc_US_SHA2011,COUNTRY,TJK,EUR,Europe,YEAR,2004,,,,,,,,,14.65,14.6509676,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2316324,GHED_CHE_pc_US_SHA2011,COUNTRY,NAM,AFR,Africa,YEAR,2016,,,,,,,,,409.78,409.78051758,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
