Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2272373,GHED_EXTCHE_SHA2011,COUNTRY,ITA,EUR,Europe,YEAR,2016,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2272412,GHED_EXTCHE_SHA2011,COUNTRY,MYS,WPR,Western Pacific,YEAR,2022,,,,,,,,,0.00,0.00428761,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2276365,GHED_EXTCHE_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2004,,,,,,,,,2.23,2.23435068,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2277909,GHED_EXTCHE_SHA2011,COUNTRY,CYP,EUR,Europe,YEAR,2019,,,,,,,,,0.67,0.67279255,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2280539,GHED_EXTCHE_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2023,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2282345,GHED_EXTCHE_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2008,,,,,,,,,0.13,0.12967366,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2283701,GHED_EXTCHE_SHA2011,COUNTRY,PNG,WPR,Western Pacific,YEAR,2004,,,,,,,,,25.98,25.97992706,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2284537,GHED_EXTCHE_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2015,,,,,,,,,0.00,0.00159204,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2285806,GHED_EXTCHE_SHA2011,COUNTRY,GTM,AMR,Americas,YEAR,2004,,,,,,,,,3.08,3.07541466,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2286108,GHED_EXTCHE_SHA2011,COUNTRY,NAM,AFR,Africa,YEAR,2011,,,,,,,,,9.87,9.86616707,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
2286390,GHED_EXTCHE_SHA2011,REGION,AFR,,,YEAR,2006,,,,,,,,,21.68,21.67686703,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2289440,GHED_EXTCHE_SHA2011,REGION,EMR,,,YEAR,2007,,,,,,,,,4.12,4.11608019,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2289901,GHED_EXTCHE_SHA2011,COUNTRY,WSM,WPR,Western Pacific,YEAR,2023,,,,,,,,,16.53,16.53037262,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2290675,GHED_EXTCHE_SHA2011,COUNTRY,SLB,WPR,Western Pacific,YEAR,2014,,,,,,,,,36.58,36.57783508,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2292780,GHED_EXTCHE_SHA2011,COUNTRY,DNK,EUR,Europe,YEAR,2004,,,,,,,,,0.00,0,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
