Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2272200,GHED_GGHE-DCHE_SHA2011,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,48.90,48.89894104,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2277754,GHED_GGHE-DCHE_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,84.86,84.85922241,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2282011,GHED_GGHE-DCHE_SHA2011,COUNTRY,AUS,WPR,Western Pacific,YEAR,2003,,,,,,,,,71.34,71.34125519,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2282257,GHED_GGHE-DCHE_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2005,,,,,,,,,40.24,40.24184418,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2287224,GHED_GGHE-DCHE_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2020,,,,,,,,,43.17,43.1696701,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
2289477,GHED_GGHE-DCHE_SHA2011,COUNTRY,MLT,EUR,Europe,YEAR,2009,,,,,,,,,64.92,64.9193573,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2290619,GHED_GGHE-DCHE_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2006,,,,,,,,,83.09,83.09328461,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2292029,GHED_GGHE-DCHE_SHA2011,COUNTRY,PAN,AMR,Americas,YEAR,2023,,,,,,,,,51.22,51.21797943,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2292307,GHED_GGHE-DCHE_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2009,,,,,,,,,24.12,24.11780167,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2292779,GHED_GGHE-DCHE_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2016,,,,,,,,,32.03,32.03073883,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2295021,GHED_GGHE-DCHE_SHA2011,COUNTRY,VNM,WPR,Western Pacific,YEAR,2015,,,,,,,,,43.58,43.58078766,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2297090,GHED_GGHE-DCHE_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2010,,,,,,,,,25.23,25.23202515,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2298203,GHED_GGHE-DCHE_SHA2011,COUNTRY,SEN,AFR,Africa,YEAR,2007,,,,,,,,,38.62,38.61841202,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2298844,GHED_GGHE-DCHE_SHA2011,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,22.55,22.55283356,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2299896,GHED_GGHE-DCHE_SHA2011,COUNTRY,GIN,AFR,Africa,YEAR,2009,,,,,,,,,7.27,7.26660919,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2300991,GHED_GGHE-DCHE_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2003,,,,,,,,,26.12,26.12215424,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2303929,GHED_GGHE-DCHE_SHA2011,COUNTRY,BOL,AMR,Americas,YEAR,2002,,,,,,,,,53.14,53.14351654,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2305145,GHED_GGHE-DCHE_SHA2011,COUNTRY,DEU,EUR,Europe,YEAR,2005,,,,,,,,,75.99,75.99072266,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2308533,GHED_GGHE-DCHE_SHA2011,COUNTRY,PNG,WPR,Western Pacific,YEAR,2021,,,,,,,,,50.00,50,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
