Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2272129,GHED_GGHE-DGDP_SHA2011,COUNTRY,GIN,AFR,Africa,YEAR,2017,,,,,,,,,0.60,0.60066199,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2273025,GHED_GGHE-DGDP_SHA2011,COUNTRY,DEU,EUR,Europe,YEAR,2013,,,,,,,,,8.25,8.24677086,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2274839,GHED_GGHE-DGDP_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2006,,,,,,,,,1.62,1.61826241,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2274937,GHED_GGHE-DGDP_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2005,,,,,,,,,3.64,3.64060426,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2275747,GHED_GGHE-DGDP_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2004,,,,,,,,,4.89,4.88974905,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2276516,GHED_GGHE-DGDP_SHA2011,COUNTRY,LVA,EUR,Europe,YEAR,2000,,,,,,,,,2.83,2.82781434,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2279578,GHED_GGHE-DGDP_SHA2011,COUNTRY,ARM,EUR,Europe,YEAR,2012,,,,,,,,,1.58,1.57816982,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2280298,GHED_GGHE-DGDP_SHA2011,REGION,WPR,,,YEAR,2006,,,,,,,,,4.98,4.97525825,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2287813,GHED_GGHE-DGDP_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2013,,,,,,,,,5.35,5.34662533,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2288455,GHED_GGHE-DGDP_SHA2011,COUNTRY,COK,WPR,Western Pacific,YEAR,2003,,,,,,,,,2.72,2.7240479,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2289189,GHED_GGHE-DGDP_SHA2011,COUNTRY,ECU,AMR,Americas,YEAR,2001,,,,,,,,,1.33,1.32788515,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2292426,GHED_GGHE-DGDP_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2013,,,,,,,,,2.17,2.17188406,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2293799,GHED_GGHE-DGDP_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2000,,,,,,,,,1.71,1.71153057,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2294541,GHED_GGHE-DGDP_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2019,,,,,,,,,5.53,5.53433323,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2297151,GHED_GGHE-DGDP_SHA2011,COUNTRY,CPV,AFR,Africa,YEAR,2014,,,,,,,,,2.77,2.77216268,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2298257,GHED_GGHE-DGDP_SHA2011,COUNTRY,VCT,AMR,Americas,YEAR,2007,,,,,,,,,2.14,2.135355,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
