Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2276421,GHED_GGHE-DGGE_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2015,,,,,,,,,11.64,11.63655186,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2278071,GHED_GGHE-DGGE_SHA2011,COUNTRY,BDI,AFR,Africa,YEAR,2010,,,,,,,,,4.86,4.86066389,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2281323,GHED_GGHE-DGGE_SHA2011,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,10.29,10.28593254,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2286820,GHED_GGHE-DGGE_SHA2011,COUNTRY,DEU,EUR,Europe,YEAR,2002,,,,,,,,,16.24,16.24415779,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2288715,GHED_GGHE-DGGE_SHA2011,COUNTRY,BRN,WPR,Western Pacific,YEAR,2014,,,,,,,,,5.20,5.20392704,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2288917,GHED_GGHE-DGGE_SHA2011,COUNTRY,COL,AMR,Americas,YEAR,2017,,,,,,,,,18.60,18.60467529,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2291529,GHED_GGHE-DGGE_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2006,,,,,,,,,18.32,18.31504631,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2295647,GHED_GGHE-DGGE_SHA2011,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,10.08,10.07938385,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2295679,GHED_GGHE-DGGE_SHA2011,COUNTRY,DOM,AMR,Americas,YEAR,2016,,,,,,,,,15.70,15.69811821,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2296490,GHED_GGHE-DGGE_SHA2011,COUNTRY,MHL,WPR,Western Pacific,YEAR,2003,,,,,,,,,15.99,15.99021339,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2297361,GHED_GGHE-DGGE_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2010,,,,,,,,,13.76,13.75653362,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2297997,GHED_GGHE-DGGE_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2013,,,,,,,,,14.31,14.30918312,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2301475,GHED_GGHE-DGGE_SHA2011,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,5.71,5.71347761,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2307141,GHED_GGHE-DGGE_SHA2011,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,3.66,3.65991807,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
2308938,GHED_GGHE-DGGE_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2004,,,,,,,,,8.50,8.50177288,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2311107,GHED_GGHE-DGGE_SHA2011,COUNTRY,BIH,EUR,Europe,YEAR,2012,,,,,,,,,13.88,13.88334846,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2319711,GHED_GGHE-DGGE_SHA2011,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,5.33,5.32781839,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2322165,GHED_GGHE-DGGE_SHA2011,COUNTRY,TKM,EUR,Europe,YEAR,2016,,,,,,,,,8.71,8.7136755,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2331184,GHED_GGHE-DGGE_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2002,,,,,,,,,7.51,7.51454115,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2333933,GHED_GGHE-DGGE_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2020,,,,,,,,,15.00,15.00467205,,,,2025-12-05T13:23:08Z,2020,2020-01-01,2020-12-31
2334701,GHED_GGHE-DGGE_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,11.41,11.40784454,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2336612,GHED_GGHE-DGGE_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,2.96,2.96314049,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2338889,GHED_GGHE-DGGE_SHA2011,COUNTRY,LUX,EUR,Europe,YEAR,2006,,,,,,,,,14.12,14.11738968,,,,2025-12-05T13:23:08Z,2006,2006-01-01,2006-12-31
2342365,GHED_GGHE-DGGE_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2007,,,,,,,,,10.95,10.95228481,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
