Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2276133,GHED_OOP_pc_US_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2017,,,,,,,,,214.41,214.41278546,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2276567,GHED_OOP_pc_US_SHA2011,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,84.14,84.14053761,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2281457,GHED_OOP_pc_US_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2023,,,,,,,,,809.53,809.52765945,,,,2025-12-05T13:23:08Z,2023,2023-01-01,2023-12-31
2283312,GHED_OOP_pc_US_SHA2011,COUNTRY,AZE,EUR,Europe,YEAR,2017,,,,,,,,,120.00,119.99942837,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2287359,GHED_OOP_pc_US_SHA2011,COUNTRY,COL,AMR,Americas,YEAR,2012,,,,,,,,,97.69,97.68731565,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2296430,GHED_OOP_pc_US_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2014,,,,,,,,,37.76,37.76172989,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2303332,GHED_OOP_pc_US_SHA2011,COUNTRY,FJI,WPR,Western Pacific,YEAR,2016,,,,,,,,,36.31,36.30611771,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2317292,GHED_OOP_pc_US_SHA2011,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2008,,,,,,,,,11.62,11.62480231,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2318985,GHED_OOP_pc_US_SHA2011,COUNTRY,ATG,AMR,Americas,YEAR,2022,,,,,,,,,160.42,160.41568956,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2320470,GHED_OOP_pc_US_SHA2011,COUNTRY,HUN,EUR,Europe,YEAR,2022,,,,,,,,,294.89,294.88748404,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2321198,GHED_OOP_pc_US_SHA2011,COUNTRY,BHS,AMR,Americas,YEAR,2014,,,,,,,,,458.67,458.66541627,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2325205,GHED_OOP_pc_US_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2011,,,,,,,,,11.08,11.08248007,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
2327163,GHED_OOP_pc_US_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,193.53,193.53488068,,,,2025-12-05T13:23:08Z,2017,2017-01-01,2017-12-31
2327204,GHED_OOP_pc_US_SHA2011,REGION,EMR,,,YEAR,2007,,,,,,,,,99.52,99.52090974,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2327408,GHED_OOP_pc_US_SHA2011,COUNTRY,SLB,WPR,Western Pacific,YEAR,2004,,,,,,,,,1.72,1.71874406,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2335183,GHED_OOP_pc_US_SHA2011,GLOBAL,GLOBAL,,,YEAR,2022,,,,,,,,,252.27,252.27321169,,,,2026-01-12T13:50:53Z,2022,2022-01-01,2022-12-31
2338599,GHED_OOP_pc_US_SHA2011,COUNTRY,CMR,AFR,Africa,YEAR,2019,,,,,,,,,41.00,40.99957399,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2339910,GHED_OOP_pc_US_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2013,,,,,,,,,2.65,2.6515436,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2340039,GHED_OOP_pc_US_SHA2011,COUNTRY,GMB,AFR,Africa,YEAR,2005,,,,,,,,,3.82,3.82081164,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2344677,GHED_OOP_pc_US_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2008,,,,,,,,,631.33,631.33253027,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2344896,GHED_OOP_pc_US_SHA2011,COUNTRY,KGZ,EUR,Europe,YEAR,2016,,,,,,,,,40.92,40.91984614,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2355968,GHED_OOP_pc_US_SHA2011,COUNTRY,GIN,AFR,Africa,YEAR,2004,,,,,,,,,18.36,18.35970224,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2357133,GHED_OOP_pc_US_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2007,,,,,,,,,281.05,281.04956141,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2360720,GHED_OOP_pc_US_SHA2011,COUNTRY,COL,AMR,Americas,YEAR,2018,,,,,,,,,79.17,79.17287734,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2362421,GHED_OOP_pc_US_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2010,,,,,,,,,198.52,198.5153261,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2363955,GHED_OOP_pc_US_SHA2011,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,43.06,43.06066149,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2364651,GHED_OOP_pc_US_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2019,,,,,,,,,14.24,14.24188887,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
