Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2273473,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BEN,AFR,Africa,YEAR,2009,,,,,,,,,13.44,13.44494641,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2274297,GHED_PVT-D_pc_US_SHA2011,COUNTRY,CHE,EUR,Europe,YEAR,2007,,,,,,,,,4243.84,4243.8428651,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2282813,GHED_PVT-D_pc_US_SHA2011,REGION,EUR,,,YEAR,2019,,,,,,,,,747.84,747.84138559,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2283260,GHED_PVT-D_pc_US_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2004,,,,,,,,,946.09,946.08777971,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2289507,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2009,,,,,,,,,1217.69,1217.68859919,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2289834,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BHS,AMR,Americas,YEAR,2014,,,,,,,,,882.42,882.41859176,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
2289875,GHED_PVT-D_pc_US_SHA2011,COUNTRY,ESP,EUR,Europe,YEAR,2021,,,,,,,,,873.38,873.3788168,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2290462,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2019,,,,,,,,,35.71,35.7123839,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2292476,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2003,,,,,,,,,8.86,8.85929035,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2294904,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2009,,,,,,,,,22.06,22.06332669,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2296410,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2022,,,,,,,,,50.30,50.30470988,,,,2025-12-05T13:23:08Z,2022,2022-01-01,2022-12-31
2301700,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GTM,AMR,Americas,YEAR,2016,,,,,,,,,149.51,149.51428043,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2302028,GHED_PVT-D_pc_US_SHA2011,COUNTRY,HTI,AMR,Americas,YEAR,2010,,,,,,,,,20.05,20.05468549,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2305663,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GRC,EUR,Europe,YEAR,2011,,,,,,,,,797.82,797.82071408,,,,2025-12-05T13:23:08Z,2011,2011-01-01,2011-12-31
2306313,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SMR,EUR,Europe,YEAR,2013,,,,,,,,,450.07,450.07011707,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2307510,GHED_PVT-D_pc_US_SHA2011,COUNTRY,FJI,WPR,Western Pacific,YEAR,2008,,,,,,,,,32.48,32.47802797,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2307826,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BGR,EUR,Europe,YEAR,2021,,,,,,,,,388.72,388.7163625,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2313297,GHED_PVT-D_pc_US_SHA2011,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,25.31,25.31039136,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2315591,GHED_PVT-D_pc_US_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2001,,,,,,,,,25.72,25.71731719,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2317565,GHED_PVT-D_pc_US_SHA2011,REGION,WPR,,,YEAR,2021,,,,,,,,,297.95,297.95358192,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2319702,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2007,,,,,,,,,18.72,18.72383229,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2320738,GHED_PVT-D_pc_US_SHA2011,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,45.31,45.31069249,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2323929,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AND,EUR,Europe,YEAR,2005,,,,,,,,,816.41,816.40607908,,,,2025-12-05T13:23:08Z,2005,2005-01-01,2005-12-31
2328034,GHED_PVT-D_pc_US_SHA2011,COUNTRY,CYP,EUR,Europe,YEAR,2007,,,,,,,,,952.50,952.50198335,,,,2025-12-05T13:23:08Z,2007,2007-01-01,2007-12-31
2331451,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GNB,AFR,Africa,YEAR,2018,,,,,,,,,41.28,41.28030304,,,,2025-12-05T13:23:08Z,2018,2018-01-01,2018-12-31
2335181,GHED_PVT-D_pc_US_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2021,,,,,,,,,29.23,29.23391838,,,,2025-12-05T13:23:08Z,2021,2021-01-01,2021-12-31
2338351,GHED_PVT-D_pc_US_SHA2011,REGION,AFR,,,YEAR,2012,,,,,,,,,49.79,49.78714813,,,,2025-12-05T13:23:08Z,2012,2012-01-01,2012-12-31
2339331,GHED_PVT-D_pc_US_SHA2011,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,278.63,278.62517482,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2340130,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2013,,,,,,,,,890.58,890.58339175,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2340191,GHED_PVT-D_pc_US_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2016,,,,,,,,,5.89,5.88895114,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2344847,GHED_PVT-D_pc_US_SHA2011,COUNTRY,COM,AFR,Africa,YEAR,2019,,,,,,,,,51.92,51.91858188,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2346814,GHED_PVT-D_pc_US_SHA2011,COUNTRY,ISR,EUR,Europe,YEAR,2019,,,,,,,,,1126.22,1126.22246109,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2347701,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SLE,AFR,Africa,YEAR,2004,,,,,,,,,16.91,16.90739024,,,,2025-12-05T13:23:08Z,2004,2004-01-01,2004-12-31
2351551,GHED_PVT-D_pc_US_SHA2011,COUNTRY,PNG,WPR,Western Pacific,YEAR,2000,,,,,,,,,1.78,1.77914699,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2352004,GHED_PVT-D_pc_US_SHA2011,COUNTRY,ALB,EUR,Europe,YEAR,2015,,,,,,,,,145.62,145.61544844,,,,2025-12-05T13:23:08Z,2015,2015-01-01,2015-12-31
2358218,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NOR,EUR,Europe,YEAR,2009,,,,,,,,,1132.70,1132.69712349,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2363283,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2013,,,,,,,,,11.22,11.21869664,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2363787,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2013,,,,,,,,,8.69,8.68808823,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2363889,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MOZ,AFR,Africa,YEAR,2008,,,,,,,,,3.07,3.06921184,,,,2025-12-05T13:23:08Z,2008,2008-01-01,2008-12-31
2364664,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2010,,,,,,,,,1337.75,1337.74898812,,,,2025-12-05T13:23:08Z,2010,2010-01-01,2010-12-31
2379726,GHED_PVT-D_pc_US_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2016,,,,,,,,,238.69,238.69153569,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2381267,GHED_PVT-D_pc_US_SHA2011,COUNTRY,NZL,WPR,Western Pacific,YEAR,2002,,,,,,,,,313.35,313.34661733,,,,2025-12-05T13:23:08Z,2002,2002-01-01,2002-12-31
2381328,GHED_PVT-D_pc_US_SHA2011,COUNTRY,TGO,AFR,Africa,YEAR,2013,,,,,,,,,25.14,25.13559961,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2382597,GHED_PVT-D_pc_US_SHA2011,COUNTRY,GHA,AFR,Africa,YEAR,2000,,,,,,,,,5.60,5.59854426,,,,2025-12-05T13:23:08Z,2000,2000-01-01,2000-12-31
2385048,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BHS,AMR,Americas,YEAR,2001,,,,,,,,,592.24,592.23934879,,,,2025-12-05T13:23:08Z,2001,2001-01-01,2001-12-31
2388257,GHED_PVT-D_pc_US_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2016,,,,,,,,,252.95,252.9483696,,,,2025-12-05T13:23:08Z,2016,2016-01-01,2016-12-31
2389437,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2003,,,,,,,,,20.31,20.3057066,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2391344,GHED_PVT-D_pc_US_SHA2011,COUNTRY,BRB,AMR,Americas,YEAR,2019,,,,,,,,,633.50,633.49704138,,,,2025-12-05T13:23:08Z,2019,2019-01-01,2019-12-31
2392116,GHED_PVT-D_pc_US_SHA2011,REGION,AMR,,,YEAR,2009,,,,,,,,,351.99,351.99354785,,,,2025-12-05T13:23:08Z,2009,2009-01-01,2009-12-31
2392175,GHED_PVT-D_pc_US_SHA2011,COUNTRY,AND,EUR,Europe,YEAR,2013,,,,,,,,,862.12,862.11842693,,,,2025-12-05T13:23:08Z,2013,2013-01-01,2013-12-31
2395193,GHED_PVT-D_pc_US_SHA2011,COUNTRY,SLB,WPR,Western Pacific,YEAR,2003,,,,,,,,,1.58,1.57799947,,,,2025-12-05T13:23:08Z,2003,2003-01-01,2003-12-31
2397354,GHED_PVT-D_pc_US_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2014,,,,,,,,,71.81,71.80814586,,,,2025-12-05T13:23:08Z,2014,2014-01-01,2014-12-31
