IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,12.35,,,,,,12.4,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,16.13,,,,,,16.1,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,18.06,,,,,,18.1,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,19.24,,,,,,19.2,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,23.58,,,,,,23.6,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,25.22,,,,,,25.2,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,27.88,,,,,,27.9,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,27.98,,,,,,28.0,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,28.43,,,,,,28.4,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,28.94,,,,,,28.9,,,EN,2022-04-29T04:00:00.000Z
